Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
MISSOURI STATE UNIVERSITY,Missouri,MO,MO-MISSOURI STATE UNIVERSITY,Matched,MO-MISSOURI STATE UNIVERSITY,1.0,exact,,
VAN-FAR R-I SD,Missouri,MO,MO-VAN-FAR R-I SD,Matched,MO-VAN-FAR R-I SCHOOL DISTRICT,1.0,exact,,
WASHINGTON SCHOOL DISTRICT,Missouri,MO,MO-WASHINGTON SCHOOL DISTRICT,Matched,MO-WASHINGTON SCHOOL DISTRICT,1.0,exact,,
MONTANA STATE UNIVERSITY,Montana,MT,MT-MONTANA STATE UNIVERSITY,Matched,MT-MONTANA STATE UNIVERSITY,1.0,exact,,
FALLS CITY PUBLIC SCHOOLS,Nebraska,NE,NE-FALLS CITY PUBLIC SCHOOLS,Matched,NE-FALLS CITY PUBLIC SCHOOLS,1.0,exact,,
HUMPHREY PUBLIC SCHOOLS,Nebraska,NE,NE-HUMPHREY PUBLIC SCHOOLS,Matched,NE-HUMPHREY PUBLIC SCHOOLS,1.0,exact,,
SEWARD PUBLIC SCHOOLS,Nebraska,NE,NE-SEWARD PUBLIC SCHOOLS,Matched,NE-SEWARD PUBLIC SCHOOLS,1.0,exact,,
BROOKFIELD R-III SD,Missouri,MO,MO-BROOKFIELD R-III SD,Matched,MO-BROOKFIELD R-III SCHOOL DISTRICT,1.0,exact,,
CARROLLTON R-VII SCHOOL DISTRICT,Missouri,MO,MO-CARROLLTON R-VII SCHOOL DISTRICT,Matched,MO-CARROLLTON R-VII SCHOOL DISTRICT,1.0,exact,,
CITY OF BLUE SPRINGS,Missouri,MO,MO-CITY OF BLUE SPRINGS,Matched,MO-CITY OF BLUE SPRINGS,1.0,exact,,
CITY OF MAPLEWOOD,Missouri,MO,MO-CITY OF MAPLEWOOD,Matched,MO-CITY OF MAPLEWOOD,1.0,exact,,
CITY OF ST JOSEPH,Missouri,MO,MO-CITY OF ST JOSEPH,Matched,MO-CITY OF ST JOSEPH,1.0,exact,,
CITY OF CEDAR PARK,Texas,TX,TX-CITY OF CEDAR PARK,Matched,TX-CITY OF CEDAR PARK,1.0,exact,,
CITY OF CELINA,Texas,TX,TX-CITY OF CELINA,Matched,TX-CITY OF CELINA,1.0,exact,,
CITY OF COLLEGE STATION,Texas,TX,TX-CITY OF COLLEGE STATION,Matched,TX-CITY OF COLLEGE STATION,1.0,exact,,
CITY OF CORPUS CHRISTI,Texas,TX,TX-CITY OF CORPUS CHRISTI,Matched,TX-CITY OF CORPUS CHRISTI,1.0,exact,,
CITY OF DUNCANVILLE,Texas,TX,TX-CITY OF DUNCANVILLE,Matched,TX-CITY OF DUNCANVILLE,1.0,exact,,
CITY OF FORT WORTH,Texas,TX,TX-CITY OF FORT WORTH,Matched,TX-CITY OF FORT WORTH,1.0,exact,,
CITY OF FRIENDSWOOD,Texas,TX,TX-CITY OF FRIENDSWOOD,Matched,TX-CITY OF FRIENDSWOOD,1.0,exact,,
CITY OF GRAND PRAIRIE,Texas,TX,TX-CITY OF GRAND PRAIRIE,Matched,TX-CITY OF GRAND PRAIRIE,1.0,exact,,
CITY OF KYLE,Texas,TX,TX-CITY OF KYLE,Matched,TX-CITY OF KYLE,1.0,exact,,
CITY OF LA MARQUE,Texas,TX,TX-CITY OF LA MARQUE,Matched,TX-CITY OF LA MARQUE,1.0,exact,,
CITY OF LAREDO,Texas,TX,TX-CITY OF LAREDO,Matched,TX-CITY OF LAREDO,1.0,exact,,
CITY OF MAGNOLIA,Texas,TX,TX-CITY OF MAGNOLIA,Matched,TX-CITY OF MAGNOLIA,1.0,exact,,
CITY OF MARBLE FALLS,Texas,TX,TX-CITY OF MARBLE FALLS,Matched,TX-CITY OF MARBLE FALLS,1.0,exact,,
CITY OF MARSHALL,Texas,TX,TX-CITY OF MARSHALL,Matched,TX-CITY OF MARSHALL,1.0,exact,,
CITY OF PALESTINE,Texas,TX,TX-CITY OF PALESTINE,Matched,TX-CITY OF PALESTINE,1.0,exact,,
CITY OF URBANDALE,Iowa,IA,IA-CITY OF URBANDALE,Matched,IA-CITY OF URBANDALE,1.0,exact,,
CITY OF BROWNSVILLE,Texas,TX,TX-CITY OF BROWNSVILLE,Matched,TX-CITY OF BROWNSVILLE,1.0,exact,,
